Name,Date,Rating,Review
Elizabeth, 13 May 2022,5,"John Oliver melted the bitter winter chill of hatred with this beautiful book, It’s good of him to support rabbit authors who so often struggle with finding collaborators like Jill Twiss who can translate and type for them. Bunny paws are difficult to work on the keyboard.The other Bundk  book is less for children than this one just in terms of art, this book has illustrations with breathtaking color and beauty, it’s a bright and beautiful world full of funny repetitions and hilarious details just for adults. Also, yes it says it’s a children’s book, but it’s listed under Gay Fiction. People who bought the wrong book really don’t pay close attention. Maybe they didn’t pay close attention to who they were electing either. That would explain a lot.If you buy a book which is #1 in Fay fiction maybe give it a try, the Freudian slip might open your heart if you can engage with the narrative without hate. We need more books that demonstrate falling in love without gender restrictions.
"
Jaymee,tates 🇺🇸 on 20 March 2018,5,"This is such a sweet book, and the Audible cast is delightful. I especially liked the hedgehog and the turtle. This is a good book for kids, especially kids who have some LGBT family or who like bunnies and hedgehogs. The pictures are excellent and the text is done in that very matter-of-fact style that is best for little kids who are fairly new to reading. My preschooler quite enjoyed it, especially the turtle and Pajama the cat, and she likes that Marlon Bundo wears a polka-dot bow tie. Scooter the Turtle was her favorite and mine was Dill Prickle the hedgehog. She was a little afraid of the stinkbug, which is odd, she normally likes the real ones and waves goodbye when we put one outside. But people who act like the stinkbug does are scary, and we tell children stories so they can learn how to deal with the villains they will find in real life. In that respect, this is a very good book. I would like a story about Scooter the Turtle and their sparkly shell next, please.
"
Seattle guy,tates 🇺🇸 on 16 May 2018,5,"This was a last minute replacement gift, so I had no time to exchange. Arrived damaged, either in shipment or sent that way. Was embarrassed to give this. Shame because book and message behind it is awesome.
"
M.V.,tates 🇺🇸 on 13 March 2022,5,"Previous review got deleted.  Not sure why.  I guess it was too political.  Ok so I guess I'll rate it 5 stars this time (instead of 1 to try and just annoy the trolls).  This is a great book for all.  It teaches being inclusive and tolerance, something we could all use more of.  It is a book of LOVE.  As an Evangelical Christian, I am upset that the political arm of the church has preached so much bigotry and hate.  None of that is endorsed by the Bible or Jesus.  We are to love our neighbors as ourselves.I read it to my 2 week old daughter.  She is a better person now.  Highly recommended.
"
LPBJ,tates 🇺🇸 on 19 March 2018,5,"This is great book, well-written and illustrated, adorable, and, of course, progressive.  That it was a best-seller (#1, even) is endearing.  John Oliver's group created this book in response to the Mike Pence book about his rabbit (Marlon Bundo).  John Oliver is a bit in-you-face about progressive issues, and he takes (rightfully so) issue with Pence's stance on gay marriage and homosexuality in general.  All of the proceeds go to charity for at-risk youth (Trevor Foundation).  However, this is a John Oliver product (even if not written by him per se), and it's as in-your-face all all of his other performances.  I'm guessing the target audience for this book is a staunchly liberal one.  Pence's daughter herself, though, bought a copy and said ""imitation is the sincerest form of flattery, and proceeds go to charity, just like our book,"" so she totally took the high road on it. I've purchased 3 copies for the 3 babies randomly cropping up this past year.
"
Amazon Customer,4 June 2021,5,"Beautifully wholesome and worth every penny. The illustrations remind me of the kids books i had as a kid.
"
Nivedita Nair,22 March 2018,1,"I am now the happiest bunny in Norway! Teaching my awesome nieces not only the English language, but also that it is okay to love someone no matter what kind of gender you are or relate to.And, of course I just love the fact that buying this book supports my fellow queer-family on the other side of the Atlantic!Thank you J. Oliver and of course a big thanks to all supporters of equality and acceptance! I am so glad that your current President (not naming him out of principal reasons, you know like in Harry Potter...) does not represent the majority's view on human rights and other major issues.Please correct that wrong that happened to US (and the rest of the world except Russia and N. Korea) in 2016, get a normal person doing that job and get your act back together. You can not claim to be the protector of democracy with that mad man as the commander and chief!!!
"
Kindle Customer, 19 March 2018,5,"What a charming story, and the illustrations are really well done as well!  I can't wait to share this book with everyone I know, especially my young nieces, nephews, and cousins.  It's a wonderfully well written tale that stands as a reminder in these troubled times that love is still pure and beautiful!To quote Charlie Chaplin: ""Do not despair. The misery that is now upon us is but the passing of greed — the bitterness of men who fear the way of human progress. The hate of men will pass, and dictators die, and the power they took from the people will return to the people and so long as men die, liberty will never perish. You, the people, have the power to make this life free and beautiful, to make this life a wonderful adventure. Let us fight to free the world, to do away with greed, with hate and intolerance. Let us fight for a world of reason.  Let us all unite!""
"
Myriam,tates 🇺🇸 on 9 May 2018,5,"Includes a remarkable story that anyone would enjoy. Great story and ending. I recommend this book for anyone who has an open mind and I recommend it even more so for close-minded individuals.
"
PaintedPoppies,tates 🇺🇸 on 21 March 2018,5,"My best friend, who is German, and her English fiancée are expecting their first kid (take that brexit and shove it up your behind!), so I had to buy this and make it bubbas first present cause obviously I’m going for that best aunty ever trophy. I gave it to them today, she almost cried when we looked through it cause hormones, I almost cried cause it’s cute and he’s just as happy about it. The drawings are wonderful, the story is amazing and you can almost hear John Oliver’s voice in your head when you read it. Wonderful book, wonderful concept and wonderful idea to donate the proceeds to lgbtq organisations. Would absolutely recommend to anyone who’s heart isn’t made entirely out of stone.
"
J.G.,tates 🇺🇸 on 18 December 2021,4,"Fantastic display, of love, conquering hate speech. Lots of Love to the Last Week Tonight team and John Oliver.  A joyful  read
"
Marja R Dallaire,tates 🇺🇸 on 21 March 2018,5,"Bravo! Last week tonight did it again. Let's hope that the period off turmoil we are facing now will end within our lifetime. If not, the generations of childrens who will be expose to the stories of people differents from them will pick up the slack. Why? Because they will have learn that the easy ways of the past is not what we need to face the real challenges of the future. We will need to take risks and get out of are confort zone to push everybody forward. Unfortunately, people like Mike Pence are unwilling to change and adapt to new situations. They rather pray the problems away, or fight to preserve things the way they are. But at the and of the day we all know that adaptation is survival. So, maybe we should accept people for the way they are if they are not hurting anybody and focus our energy on real issues, that will affect people for generations. Good job, last week!
"
Marja R Dallaire,tates 🇺🇸 on 13 May 2018,5,"This is a heartwarming and entertaining story with a great message. My 5yr old enjoyed reading it with me. Personally, I would've found it more satisfying for the animals to come up with a solution other than voting out the story's villain (civil disobedience, impeachment, etc.) but this *is* a book for kids and the vote was quick and kept the story moving to the happy conclusion. The characters and illustrations are wonderful. This is a real book that works on its own, apart from its place as a satirical response to the Pence family's book.The book seems to be quite in line with the legacy of Marlon Bundo's namesake, who was open about his sexual experiences with other men and who supported civil rights. I do wonder what the Pences were thinking when they chose the bunny's name!I hope the Kindle version becomes available on more devices/apps! I had to download the Kindle app for PC since it wasn't even available on Kindle Cloud Reader.
"
B. Wong,tates 🇺🇸 on 27 March 2022,5,"Es war für mich sehr beeindruckend, in welch einfacher Art der Autor kleinen Kindern - ohne erhobenen Zeigefinger - das Wesen der Demokratie nahe bringt. ""Stinkekäfer"" oder alle anderen Personen, die der Ansicht sind, dass sie besonders wichtig sind und deshalb ihre Weltsicht als die einzig richtige zu gelten hat, haben anzuerkennen, dass andere das gleiche Recht zur Entfaltung ihrer Persönlichkeit haben. Und wie wichtig Solidarität und Freundschaft im Leben jedes Einzelnen sind.Nur durch den Zusammenhalt der Freunde gegen Intoleranz und Ignoranz kann sich die Liebe durchsetzen und Marlon und Wesley können zu ihrem Bunnymoon aufbrechen. Ich wünsche ihnen das Beste!Bei ""Beste"" fällt mir ein, dass ich die Zeichnungen noch gar nicht erwähnt habe. Tja, ich habe lange überlegt, ob ich damit anfangen sollte. Die liebevoll und aussagekräftig gestalteten Figuren, gehen einem ans Herz. Ich habe das kleine Büchlein als sehr alter Mensch, der weit weg von solcher Art ""Lektüre"" sein sollte, schon mehrfach angeschaut. Immer wieder finde ich neue Details, die mich erfreuen.Alleine deshalb rechtfertigt sich schon der Preis. Was ich aber besonders erfreulich finde, dass der Gewinn an LGBT-Organisationen überwiesen werden soll, was hoffentlich auch geschieht.Es bleibt mir nur noch, dem Team meinen herzlichsten Dank zu sagen und ihnen Erfolg im Kampf gegen Intoleranz und rechte Gesinnung zu wünschen. Es steht viel auf dem Spiel - nicht nur für Kaninchen!
"
Ariel,tates 🇺🇸 on 23 July 2018,5,"The hope we need for our nation all in this beautiful and charming book- a satire book staring a bowtie wearing gay bunny.Outside of the overt social messages here and the satire (for those that don't know the story, this is poking fun at Charlotte Pence's book about their pet bunny and shares a political message (and donated money) to organizations supporting LGBTQ+ communities)- but underneath all that is actually a really sweet and charming story about letting yourself love who you want to love, about acceptance, and about the love winning all.
"
Kyle,tates 🇺🇸 on 23 April 2018,5,"Wonderfully sweet and precious while simultaneously poignant and necessary in teaching young readers (and old) about open mindedness and acceptance.I purchased this book for a couple of reasons. 1. I love John Oliver and everything he and his team are doing at Last Week Tonight. 2. I fully support the Trevor Project, helping prevent suicidal LGBTQ, and AIDS United. 3. To stick it to the Pence's for their anti-LGBTQ rhetoric. I am happy to be a part of crushing their book; the only disappointment is that all this attention on this Marlon Bundo book likely gave a small boost, however slight, to the Pence's book, which probably wouldn't have sold much at all without the Last Week Tonight crew, because honestly, who give a damn about the VP's rabbit?I'm also curious about how the Pences feel about their bunny's namesake Marlon Brando turning out to be bisexual? That makes for some nice poetic justice.
"
Tony Alexander Møller,tates 🇺🇸 on 28 January 2022,5,"Where to start... I saw the book on Last Week Tonight with John Oliver and had to get it, for multiple reasons. As many others did, I thought it was irresistibly funny that they would create a parody of the Pence Marlon Bundo book and use it to promote inclusivity, going against the anti-gay agenda of the Pence family. My toddlers love the book and the proceeds benefit a wonderful organization so everyone wins. It is also the only John Oliver humor I can expose my toddlers to, without having to worry about their language around other pre-K kids.It's great to see comedians like John Oliver using their platforms to bring positive social change and bring exposure to serious issues in our society. It's so rewarding to see that this book is in the #1 spot of most of the book charts and the ""other"" Marlon Bundo book didn't get close to the same reception.
"
Shannon M. Austin,une 2021,5,"Mike Pence as the Stinkbug.  Hysterical.  I have gifted many to new families.
"
Amazon Customer,March 2018,1,"This book is incredibly unrealistic. How would a stink bug even be in power in the first place? People would never vote for or follow someone like that, right? Also, I feel like the message that “different is okay” is weak. I mean, I feel like we already know that- even my 2 year old knows that. Doesn’t everyone already believe that “different is okay”? I just find it hard to believe any animal could possibly have an issue with that and also that anyone could support a character like the stink bug, so for that reason I have to give this book 1 star. Clearly this is a fictional book, and I don’t see that stated anywhere in the product description.I was going to buy several more as gifts for family and friends, but instead I’m going to just donate the cost of the books directly to the benefiting charities. In your face, Marlon!
"
Nivedita Nair, August 2020,5,"A beautifully illustrated, funny yet poignant story for all ages with an important message and values for our times! Diversity of all sorts is part of life, humanity and creation. We appreciate that some of the profits will go to benefit The Trevor Project and AIDS United. Not all of us Christians are V.P Pence-flavored Christians -- there's diversity among us, as well.  ""A Day in the Life of Marlon Bundo"" feels like a well-conceived, creative form of expression of different world views and values in response to Pence's Bundo book and V.P. Pence's views and actions (not cool for someone who was elected to one of the highest public offices and called to serve for the welling of all voters and people, without bias or discrimination).  I love that V.P. Pence's daughter bought a copy of the book, too!
"
Kindle Customer,ingdom on 16 March 2022,5,"Let’s face it, Mike Pence’s rabbit is probably at least bi-curious. I mean why else would he have named it after Marlon Brando? I’ve had a male pet rabbit, and trust me, they’ll literally hump anything. In this book Marlon Bundo sets a good example, he doesn’t just go around humping indiscriminately, he waited for love and marriage. I thought Christians were always telling people to wait for marriage, so I’m surprised they don’t love this book.In any case this is a good bedtime book for my sons. I guess if you’re a bigot who wants to indoctrinate your children with the same hate that blackens your very heart and soul this book might not be for you. But I hope you accidentally order this instead of the other Marlon Bundo book.
"
Steffi , March 2018,5,"I have now officially purchased three copies of this book - and probably not my last! It's a great gift for anyone with kids, or frankly anyone with a heart. To be honest,  I didn't expect much of this book going in. Since it's a parody of the Pence book, I was a little bit worried that the authors were just going to ""phone it in.""  Fortunately for everyone involved, they absolutely did not! This is a very, very sweet book that I really enjoy, and I don't mind admitting how much I love the story despite my advanced age.  Love is love, friends support one another, and our differences are what make us beautiful. These are simple, true messages, no matter a person's politics. This book is for everyone. Enjoy!
"
Amazon Custobmercsy,tates on 19 March 2018,5,"This is the best book ever, if for no other reason than it probably irritates the right people! Aside from that, it's beautifully illustrated and a beautiful story that promotes tolerance, inclusion, and just letting people -- and rabbits -- live their lives. Don't be a dang stink bug!And for anyone wondering, it is actually written like a children's book -- there's nothing in it that should freak out or scare kids. In fact, I think it's a great way to bring up the discussion about homosexuality so that your child grows up understanding things instead of fearing them.
"
Henry,4 April 2018,5,"I bought this because my youngest child is having some issues connecting with her LGBTQ+ older sibling. They share the book, and it helps them find a great middle-ground and enjoy spending time with each other and teaches my youngest child that she can understand her older sibling's differences instead of treating it in the awful way the other kids at her elementary school do. A great quarantine buy for a family stuck together that helped take the edge off of the sibling battles.
"
Sarah M.,tates on 8 May 2020,5,"This book totally floored me with laughter. Aside from the fact that we are all ""sticking it to Pence"" by buying this version instead of his, this book is absolutely beautiful. The colourful drawings jump out of the page and one gets immersed in the story - but... it ends too quickly (a very happy ending, though)!I can't help but wonder whether the Pences actually know that their beloved bunny's name is most likely taken from Marlon Brando who, I believe, was gay?  That's certainly ironic! And hilariously funny to think Mike Pence is that dense...""Well, doggone it, Ma, I didn't know Marlon was a fruity-tutty, otherwise, I'd have named it Rock Hudson!""  Hee, hee, hee...
"
Gelegenheitsleser,tates on 19 May 2018,5,"How could my review possibly express how much my 2 year old loves this book? If we ever skip a day of reading it, she's definitely quoting it. Seriously, this book is a daily part of our lives for the past 6+ months. Fortunately, it's not at all annoying for adults, and I love that she's learning wholesome lessons about love, inclusivity, and voting. It's a winner all around!
"
The Romantic Rush Blog,tates on 29 May 2018,5,"I bought this book because the proceeds go to the Trevor Project and AIDS United, because I love giving children's books as gifts to children, because I love John Oliver, and yes, to stick a thumb in the eye of that stinkbug Mike Pence. What I didn't know was that this book would become my new favorite children's book, destined to become a classic up there with Where the Wild Things Are, Ferdinand, the Giant's Toe, and I Love You Forever. This book was ordered Sunday night at 11:30 pm and arrived to me on Tuesday. It is beautiful, sweet and witty and kids and their parents will love it. They are doing another printing as this book sold out in a day. Order yours ASAP. Thank you, John Oliver and company.
"
Timothy C.S. Bighead,tates on 3 March 2022,5,"I finally got my copy today after almost six weeks. I bought it because I love John Oliver and I wanted to support this project and send a message. I believe I accomplished all that.That being said, the book was DELIGHTFUL. I am not a sentimental person but I found myself tearing up a little when I read it. I don't know much about children or children's' books but this story was told in such a thoughtful and relatable way that I can only imagine parents and children finding this a great way to communicate that love is love.Thank you Jill Twiss and John Oliver and crew for putting out this lovely book. I continue to watch your show regularly and enjoy it.
"
G T G,tates on 4 May 2018,5,"It was a long wait to arrive, a month almost, but worth it: it is cute, irreverent of our current political climate, educational and compassionate of our diversity, all at the same time.  A bunny who just wants to be allowed to be what he is, without others telling him otherwise.  The fact that the sale benefits charity simply puts the icing on the cake of Doing the Right Thing and buying this version of little Marlon's story, versus the alternative story on sale from...other sources.A must buy for today's world!  Makes an excellent gift to friends, or young ones who could use the gift of understanding another's view of the world around them and how their acts can affect others.
"
BAM,4 June 2021,5,"This was a fun book to read. It has a great meaning and a fun way of getting it across. The art is well done and fun.
"
Alicia,22 March 2018,1,"My family loves Last Week Tonight with John Oliver. We are always discussing the latest episodes over the phone or when we get to hang out. I bought these books as gifts for my brothers and they got a kick out of them. The message in this book is appropriate for any age. It explains things perfectly to children. The proceeds go to amazing non-profits so it is money well spent! The best bonus is that it’s a dig at a homophobic a-hole!!!
"
Nivedita Nair,tates 🇺🇸 on 23 March 2018,5,"This is a cute little tale of a boy bunny who finds his soulmate in another boy bunny.  The book was written by the political satire show, John Oliver's Last Week Tonight on HBO as an alternative to a similar book written by the staunchly anti LGBT Pences, with the profits going to LGBT causes.  The VP even makes an appearance in this book, probably not willingly, but I digress.  I bought this book for my soon-to-be great granddaughter that will be born into a family with openly gay members, who are loved and adored.  This will be her normal, a family where people are loved and accepted for who they are and are free to love who they love.
"
Kindle Customer,tates 🇺🇸 on 28 July 2018,5,"Maybe it's a little heavy-handed with the vote, but if schoolhouse rock can teach us about getting bills made into laws, why can't a garden full of animals encourage change through voting? I worry about the power vacuum they've created by voting for, ""Not Stink Bug,"" but that's just the crazy adult in me.This really is a sweet book, was lovely illustrations, and I'll enjoy reading it to my son when he's old enough to stop teething on my tablet and listen along.If you embrace the fear of awkward conversations with your children, you might discover that a message about being able to be who you are and love who you love seems completely normal to them. No awkward conversation necessary.
"
R Boriack,tates 🇺🇸 on 18 July 2018,5,"It is seriously a cute book and the writing was better than I expected. I mostly got this book to piss off VP Pence, but this is a legit book for children and I found that it mostly addresses the somewhat complicated nature of marriage equality.My only drawback is that I thought it was a little to overly political. I felt that they could have written it a little more cleverly, but I probably should have expected that.Criticism aside, I still think this is a delightful book worth reading to any child. The story and artwork are outstanding considering how quickly they likely had to put this together.The proceeds also go to a great cause. Also, the book makes social conservatives heads explode which is well worth the purchase.
"
Nikos Rutkowski,tates 🇺🇸 on 6 September 2018,5,"This was such a cute book, I read it to my daughter and ended up crying at the end!A good choice for any parent that wants to raise their child in an LGBTQ+ inclusive environment.Definitely a good buy and would recommend!
"
Jennifer K. Gilman,tates 🇺🇸 on 5 May 2020,5,"Awe-inspiring, truth rattling, this book has it all. I have yet to come to a conclusion on what is better, the voice acting that is so conceivably believable that I actually had to look up if Jim Parsons is infact a homosexual rabbit, or the writing; it could also be the fact that this is all a middle finger to Pence, but who knows. No matter who you are, a Amish man, a girl from Montana, or a genderfluid demisexual from LA, you will be enchanted by the love depicted within the covers of this book. I only wish illiteracy had been vanquished just so no person has to forge on in life without giving this book a read. God bless the BOTUS!
"
Kdb,tates 🇺🇸 on 25 April 2019,5,"I sat in quiet while reading this book. I laughed out loud and I held back tears. I’m so happy this book was written you see I have an amazing daughter who is gay and has found the love of her life. They are engaged to be married (thank God it is still legal in my state). I have two other daughters who, when they got engaged to their male partners, my Mom told the world with excitement.  She hasn’t told a soul about my gay daughters engagement. So hopefully this book will teach the young whose minds haven’t been tainted that any one who finds love are the luckiest people in the world. And maybe teach a few others
"
Halee,tates 🇺🇸 on 13 October 2020,5,"What I like about this book is how poignant and to-the-point it is with its topics focusing on love and tolerance. It’s humor is enough to appeal to multitudes of audiences, but I would have loved to see this book be a little longer and see the bunnies try to plan on tackling of homophobia with regards to adoption.Whom would I recommend this book to? Anyone, especially young children because when they are so young, they still see the world with open hearts, open eyes and open minds.
"
Connie Gallant,tates 🇺🇸 on 20 March 2018,5,"I bought this about 5 minutes after John Oliver unveiled it on his show and it took a couple weeks to get it because, as John admitted on Seth Meyers' show, they had no idea so many people might actually buy it so they hadn't printed enough. Fine. I got my copy, read it immediately, and loved it. Then I ordered another copy for a friend's kid's birthday. It's now been on back order for almost a month and if it doesn't come soon, I'll miss the birthday. Are they simply not printing any more after that first surge of orders? Hard to tell but it's making me a little unhappy. Still, I gave it 4 stars because I did like it. I just deducted a star for slooooooow follow-up order fulfillment.
"
kendallreyn,tates 🇺🇸 on 2 May 2018,5,"Omigosh, how much fun is this magical little book! The story is adorable and written beautifully, and the illustrations really bring the tale to life. I highly recommend the audible version as a listen-along, as it's a mini-production itself, with recognizable talented voices. I only wish there was a song!My favorite thing about this book is that, while the *plot* centers on two boy bunnies falling in love, the ""moral"" or lesson is about how we have the power to change rules and leaders who no longer make sense, with our votes. Also, good friends are supportive of differences and cheer each other on. :)Well done, LWTWJO team, very well done, indeed!
"
